year,magnitude,fire,harvest,insects,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag,temperature_lag,longitude,latitude
2014,  706,NA,NA,NA, 71.26,81.11,18.88,0,477,1066,3.24, 996,4.97,-6106577,5038178
2016, -560,NA,NA,NA, 69.00,78.08,21.93,0,388, 960,5.12, 963,3.95,-6043335,5077328
2013, -684,NA,NA,NA, 76.16,84.42,15.14,0,395,1277,4.40,1054,5.97,-6162638,5065050
2008, -808,NA,NA,NA, 71.86,69.75,27.31,0,208, 974,4.88, 850,5.73,-6027351,5079876
2006,-1382,NA,NA,NA, 70.94,85.41,14.38,0,501,1070,5.13, 962,3.71,-6119319,5040958
2021, 1068,NA,NA,NA, 86.94,81.01,18.99,0,525, 978,5.50,1098,3.99,-6125110,5094471
2019, -733,NA,NA,NA, 81.22,46.65,53.23,0,366,1016,3.22,1008,4.58,-6031057,5101420
2013, -512,NA, 1,NA, 75.83,84.04,15.64,0,412,1279,4.08,1057,5.72,-6141326,5083351
2018,-1098,NA, 1,NA, 78.83,71.36,28.61,0,303, 883,4.30, 934,4.50,-6007429,5127366
2013, -391,NA, 1,NA, 31.68,65.22,34.66,0,325,1128,3.89, 947,5.57,-6066269,5132231
2016,-1296,NA,NA,NA, 71.96,20.64,73.98,0,212, 914,5.80, 917,4.66,-6036617,5087521
2010, -345,NA, 1,NA, 61.52,22.46,74.53,0,263, 879,5.96, 917,4.13,-6031984,5105822
2013, -603,NA,NA,NA, 79.10,82.48,17.10,0,437,1200,3.74, 999,5.44,-6098238,5114857
2019, -643,NA,NA,NA, 74.67,47.39,51.73,0,313,1115,3.90,1070,5.24,-6048663,5066672
2013, -505,NA,NA,NA, 82.00,79.23,20.33,0,413,1240,4.53,1033,5.99,-6173758,5033777
2019, -939,NA, 1,NA, 83.40,57.83,41.91,0,273, 918,3.33, 946,4.66,-6007197,5129219
2019,  673,NA,NA,NA, 67.92,77.93,22.02,0,358,1265,4.22,1178,5.59,-6077389,5027059
2010,  558,NA,NA,NA, 63.48,91.45, 8.37,0,503,1065,5.40,1146,3.88,-6149202,5054394
2006, -846,NA,NA,NA, 73.90,88.30,11.39,0,498,1118,5.10,1029,3.69,-6142021,5067830
2007,  540,NA,NA,NA, 57.74,74.28,25.09,0,344, 858,4.42, 861,4.75,-6024571,5088216
2021,  616,NA,NA,NA, 82.88,53.21,46.55,0,409, 880,5.73,1021,4.05,-6060015,5087521
2020, -812,NA, 1,NA,106.68,53.70,45.45,0,208, 882,5.80, 957,4.65,-5981483,5128756
2007,-1404,NA,NA,NA, 87.00,24.44,13.17,0,367, 847,4.93, 912,5.30,-6082717,5025437
2016,  669,NA,NA,NA, 88.54,13.13,86.87,1,238, 896,5.40, 930,4.15,-6032216,5109992
2018, -528,NA,NA,NA, 77.86,34.37,63.47,0,421,1002,4.29,1010,4.48,-6093605,5081266
2013, -466,NA,NA,NA, 64.66,92.29, 7.60,0,266,1004,4.64, 887,6.14,-6033374,5084278
2006, -928,NA,NA,NA, 69.56,69.10,30.90,0,348,1056,5.40, 935,3.94,-6088740,5122965
2015, -653,NA,NA,NA, 65.54,89.03,10.95,0,433, 900,4.61,1003,4.77,-6114222,5024511
2013, -400,NA,NA,NA, 62.70,55.74,44.25,0,385,1112,3.49, 950,5.11,-6046347,5127366
2013, -619,NA,NA,NA, 99.10,74.25,25.76,0,243, 983,4.40, 888,5.97,-5990981,5121111
2013, -588,NA,NA,NA, 80.76,77.92,22.08,0,392,1178,3.77, 987,5.40,-6089667,5106980
2007, -767,NA, 1,NA, 37.68,67.32,32.67,0,384, 996,4.41, 966,4.47,-6095921,5127366
2013,-1647,NA,NA,NA, 60.98,94.36, 5.64,0,268,1006,4.60, 888,6.12,-6033374,5084510
2013, -564,NA,NA,NA, 79.48,94.07, 5.91,0,413,1279,4.28,1056,5.88,-6159163,5069220
2016, -504,NA,NA,NA, 75.98,82.30,17.70,0,507,1006,5.03,1041,3.80,-6115844,5032155
2016, -380,NA,NA,NA, 67.38,77.65,22.35,0,489, 990,5.06,1023,3.79,-6108431,5040032
