year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2013, 515.2, 67.02,28.4,69.61,0,297,1045,4.01, 882,5.91, 950,5.04, 894,5.74,51.5,59.0,28.4,59.0,39.7,60.0,33.2,61.0
2005, 852.6, 60.31,27.8,70.96,0,253, 774,5.02, 767,3.88, 927,3.88, 783,4.80,16.7,56.0,24.9,58.0,40.6,58.0,25.4,59.0
2012, 435.9, 83.38,77.5,22.07,1,431, 925,6.09,1003,5.19, 991,5.68,1078,3.80,35.1,62.0,47.3,62.0,45.2,63.0,61.2,60.0
2010, 653.1, 80.04,76.7,23.17,0,289, 887,6.42, 915,4.39, 997,4.52, 847,4.82,30.8,63.0,41.3,60.0,47.2,58.0,26.0,58.0
2009, 323.1, 70.32,40.9,58.86,0,222, 867,3.99, 971,4.10, 846,4.40, 984,5.49,36.7,58.0,44.8,57.0,26.4,56.0,43.8,60.0
2009, 576.7, 73.38,64.0,33.89,1,224, 876,4.06, 973,4.24, 844,4.56, 983,5.64,37.4,58.0,44.8,57.0,25.9,57.0,43.4,60.0
2012, 360.0, 74.76,96.2, 3.81,0,380, 875,6.62, 976,5.70, 948,6.19,1069,4.30,29.0,62.0,43.7,63.0,39.6,63.0,59.3,60.0
2004, 731.2, 73.04,61.0,38.77,0,238, 763,3.99, 929,4.00, 778,4.95, 806,5.70,24.3,58.0,40.6,58.0,24.7,60.0,23.0,60.0
2016, 393.8, 84.94,63.0,36.93,0,416, 989,5.65, 910,4.75,1091,3.74,1137,4.55,42.3,60.0,36.5,59.0,61.5,62.0,62.6,62.0
2021, 976.6, 82.04,66.4,33.55,0,458, 923,5.57,1031,4.82,1126,2.97, 992,4.12,37.5,59.0,53.1,60.0,64.8,58.8,47.0,60.8
2012, 631.4, 76.64,94.2, 5.61,0,412, 966,5.60, 991,4.70, 940,5.40, 964,3.47,40.3,61.0,45.8,61.0,41.1,63.0,50.8,60.0
2012, 925.7, 68.62,82.2,17.76,0,379, 986,6.03,1015,5.07, 975,5.77, 996,3.87,43.3,63.0,48.6,63.0,45.3,65.0,54.8,62.0
2007,2771.1,  6.81,26.2,67.82,0,309, 883,4.10,1014,5.10, 821,4.50, 815,3.30,31.4,56.0,48.2,60.0,23.1,56.0,31.5,57.0
2005, 676.0, 62.72,62.7,37.24,0,347, 878,4.69, 897,3.45,1018,3.47, 936,4.37,31.6,58.0,42.3,60.0,53.4,59.9,44.7,61.0
2021, 754.5, 85.06,44.3,53.42,0,340,1091,6.84,1175,6.20,1351,4.40,1170,5.52,52.7,62.0,64.9,62.0,85.6,61.0,63.4,63.0
2010, 624.1, 65.66,81.7,18.16,0,448,1053,5.70,1106,3.90,1305,4.08, 994,4.51,52.2,63.0,64.5,61.0,82.7,60.0,44.5,60.0
2008, 595.1, 76.00,75.8,24.23,0,348, 995,4.20, 855,4.50, 997,5.61, 785,5.00,47.9,58.0,27.7,57.6,45.6,61.0,18.4,57.0
2021, 652.7, 86.48,88.0,10.91,0,485, 958,5.52,1082,4.82,1162,2.82,1034,4.02,41.1,59.0,57.7,60.0,68.4,58.0,51.2,60.0
2015, 442.4, 75.67,26.1,71.20,0,250, 810,4.36, 951,3.50,1010,4.09, 870,5.93,23.3,55.0,44.5,59.0,47.5,59.0,26.6,59.0
2009,1607.2, 64.14,41.9,57.78,0,357, 959,4.12,1043,4.30, 848,4.60,1001,5.76,47.3,60.0,53.7,59.0,27.7,58.0,46.8,62.0
2021, 952.2, 81.66,70.0,29.95,0,374, 812,5.60, 946,4.80, 984,2.90, 919,4.00,23.8,57.9,42.1,58.0,48.1,57.0,37.4,59.0
2004,1613.4, 24.57,26.7,70.04,0,192, 755,4.40, 918,4.36, 765,5.33, 784,6.10,22.1,59.0,38.3,59.0,21.9,60.0,19.1,60.0
2010, 913.4, 84.42,87.2,12.40,0,287, 886,6.40, 915,4.35, 997,4.50, 845,4.80,30.9,63.0,41.4,60.0,47.3,58.0,26.0,58.0
2021, 692.8, 85.20,78.9,21.05,0,490,1062,5.90,1182,5.29,1263,3.22,1118,4.40,52.0,61.0,67.5,61.0,78.9,59.0,60.1,62.0
2007, 958.7, 40.52,30.3,67.01,1,423, 924,3.90,1055,4.87, 861,4.22, 861,3.06,37.6,57.8,54.3,61.0,29.5,56.0,38.2,58.0
2018,1684.8, 73.62,87.3,12.53,0,475,1150,4.69,1309,4.73, 995,5.33, 914,4.43,62.9,62.0,82.0,62.0,43.9,60.0,37.9,59.0
2019, 477.6, 83.06,80.4,19.45,0,518,1243,3.01,1102,4.21,1292,4.21, 992,4.81,77.3,59.0,58.9,62.0,81.2,62.0,44.8,59.0
2012, 593.3, 80.70,50.1,49.83,0,192, 832,6.60, 939,5.80, 854,6.56, 872,4.50,20.8,60.0,36.8,61.7,26.6,62.0,36.0,59.0
2012, 301.3, 61.16,73.5,26.46,0,329, 856,6.02, 959,5.20, 892,5.87, 916,3.83,25.8,60.0,41.2,61.0,33.1,62.0,42.8,59.0
2012,1144.8, 74.46,43.4,56.14,0,432, 965,5.39, 997,4.49, 943,5.20, 966,3.20,40.3,60.0,46.8,61.0,41.5,63.0,51.0,59.1
2009, 610.0,113.53,76.6,22.93,0,314, 984,4.54,1070,4.73, 838,5.03, 994,6.23,48.9,60.0,55.4,59.0,25.7,59.0,45.1,62.0
2014,1004.1, 77.52,88.5,11.39,0,476,1054,2.91,1106,3.61, 909,5.51, 990,4.67,58.5,60.0,60.7,60.9,34.3,61.0,46.9,62.0
2018,1326.6, 63.98,84.5,15.45,0,464,1157,4.70,1362,4.70,1001,5.30, 910,4.48,63.4,62.0,87.0,63.0,44.2,60.0,36.9,59.0
2014, 642.7, 68.02,70.7,29.30,0,328, 969,3.54,1025,4.19, 856,6.00, 959,5.20,47.3,60.0,49.8,60.0,25.8,60.0,41.1,61.0
2010, 452.4, 59.44,95.0, 5.02,0,512,1066,5.40,1116,3.60,1317,3.72,1007,4.20,54.6,63.0,66.5,61.0,85.0,60.0,46.9,60.0
2021, 555.4, 88.05,83.8,15.71,1,450, 959,5.73,1057,5.03,1181,3.21,1021,4.31,41.5,60.0,55.9,60.9,70.7,59.0,50.3,61.0
2009, 550.6, 56.02,51.8,47.33,0,301, 893,3.58,1011,3.70, 869,4.01,1005,5.08,40.5,58.0,50.2,56.0,30.0,56.0,47.2,60.0
2012, 568.9, 95.68,66.5,33.50,0,388, 839,6.47, 972,5.62, 932,6.25,1003,4.25,24.0,62.0,42.6,63.0,37.2,63.5,51.8,60.8
2005, 236.0, 62.20,75.1,24.77,0,267, 773,5.27, 778,4.10, 928,4.07, 779,5.10,16.4,57.0,25.7,59.0,40.6,58.0,24.6,60.0
2014, 272.8, 62.87,57.4,42.41,0,181, 934,4.70, 966,5.30, 802,7.10, 922,6.30,40.8,61.0,40.8,61.0,16.4,61.0,33.8,62.0
2009, 301.5, 54.86,37.4,62.51,0,398, 952,3.40,1062,3.56, 882,3.90,1025,4.96,48.0,58.3,57.1,57.0,32.5,57.0,50.7,60.1
2011, 582.5, 75.78,91.0, 8.88,0,324, 970,5.44, 896,6.14, 922,4.09,1005,4.24,41.8,62.0,32.8,63.0,42.9,59.3,49.0,58.0
2012,1512.4, 70.18,78.2,21.56,0,471, 884,6.00, 984,5.10, 969,5.60,1069,3.70,31.5,62.0,46.2,63.0,43.5,63.0,60.8,60.0
2011, 320.0, 69.02,33.5,66.29,0,384, 953,5.20, 931,5.76, 995,3.81,1102,3.96,41.8,62.0,38.5,62.0,52.2,59.0,61.2,58.0
2018,1505.8, 73.28,86.7,13.04,0,491,1111,4.32,1302,4.38, 995,4.92, 901,4.10,59.4,62.0,81.7,62.0,44.6,59.0,36.8,59.0
2006, 634.3, 63.28,29.2,70.75,0,184, 966,6.21, 758,5.61, 753,4.41, 916,4.41,40.2,61.0,13.3,57.0,21.8,59.0,37.9,59.0
2012, 655.2, 79.37,79.0,20.99,0,483, 893,6.00, 992,5.08, 979,5.58,1083,3.69,32.5,62.0,47.0,63.0,44.6,63.0,62.3,60.0
