year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2005, -676, 62.76,57.56,42.32,0,509, 897,4.47, 944,3.40,1070,3.30, 948,4.50,33.7,57.5,46.7,60.0,59.3,59.0,45.6,61.0
2015, -573, 82.14,81.44,18.56,0,427, 876,4.23,1228,3.12,1213,3.77,1000,5.87,35.0,59.0,77.3,62.0,72.4,63.0,45.3,63.0
2013, -867, 79.90,85.63,14.31,0,459,1132,3.50, 940,5.41, 997,4.59, 963,5.20,62.8,60.0,37.2,60.0,47.1,61.0,43.1,62.0
2013, -519, 71.32,65.41,34.36,0,339,1160,3.99, 967,6.08, 990,5.12, 942,5.85,65.8,62.0,40.6,62.0,45.4,62.0,41.3,64.1
2013, -846, 79.26,85.93,13.92,0,451,1165,3.40, 976,5.40,1008,4.50, 968,5.18,66.6,60.0,41.7,61.0,48.2,61.0,44.4,63.0
2007,-1570, 38.55,77.48,22.52,0,328, 833,4.87, 987,6.03, 801,5.36, 844,4.32,25.7,58.6,44.9,62.0,20.4,58.0,33.3,60.0
2007, -686, 78.32,81.24,18.55,0,356, 990,5.14,1083,5.97, 943,5.34, 987,4.24,42.4,60.0,55.2,63.0,36.0,58.0,48.8,60.0
2005, -991, 71.60,78.97,21.02,0,439, 920,4.55, 939,3.30,1079,3.30, 984,4.27,37.4,59.0,47.8,61.0,60.9,60.0,50.6,62.0
2013,-1759, 77.60,77.24,22.73,0,453,1222,3.70,1001,5.70,1036,4.80,1020,5.40,72.4,61.1,44.4,62.0,51.0,62.0,49.8,63.2
2015, -577, 81.72,87.77,12.05,0,396, 839,4.08,1153,3.02,1156,3.62, 972,5.72,29.7,57.0,68.5,61.0,65.6,61.0,41.4,61.4
2014, -548, 89.33,27.42,70.73,0,349,1194,3.31,1176,4.00, 978,6.10,1001,5.17,73.3,62.0,68.1,63.0,42.5,63.0,47.3,63.0
2010, -673, 54.13,27.91,72.02,0,231, 863,6.60, 880,4.50, 963,4.70, 838,4.99,27.5,63.0,37.0,60.0,42.9,58.0,24.3,58.0
2005, -668, 37.93,27.69,61.73,0,325, 791,4.70, 793,3.60, 948,3.50, 805,4.60,20.4,56.0,29.1,58.0,44.5,58.0,29.2,59.0
2010, -626, 75.64,88.97,11.02,0,420, 958,5.37, 977,3.41,1156,3.57, 957,3.98,43.1,63.0,52.2,60.0,68.2,59.0,41.8,59.0
2015, -730, 58.80,74.28,25.71,0,419, 870,4.29,1030,3.32,1072,4.02, 874,5.92,32.6,58.0,55.5,60.8,56.6,61.0,29.9,61.0
2006, -771, 71.70,74.11,25.21,1,468,1090,5.00, 920,4.40, 931,3.20,1083,3.10,58.9,63.0,36.9,58.0,46.5,60.0,60.9,59.0
2016,-1123, 82.90,88.24,11.48,0,461, 968,4.82, 873,3.95,1146,2.92,1179,3.60,41.6,58.0,33.3,57.0,67.7,60.0,67.7,60.8
2010, -926, 77.41,81.97,17.83,0,451,1035,5.50,1054,3.61,1252,3.80, 988,4.26,51.0,63.0,60.0,61.0,78.1,60.0,44.7,59.9
2006, -628, 72.90,61.07,38.80,0,440,1079,5.56, 918,4.86, 971,3.86,1097,3.71,56.2,62.0,34.7,58.0,48.4,60.0,61.1,59.0
2019, -796, 79.68,73.34,26.66,0,397, 982,2.80, 920,3.93,1112,4.07, 932,4.60,48.4,57.0,37.8,59.0,59.9,59.0,36.9,57.0
2017, -485, 48.14,28.97,70.50,0,256,1156,4.94, 926,5.50, 829,4.70, 954,3.82,62.1,60.0,33.2,57.6,24.9,56.8,44.7,59.3
2015, -487, 84.08,83.88,15.92,0,371, 955,5.11,1221,4.04,1248,4.91, 979,6.90,40.4,60.0,73.7,62.0,72.3,62.0,39.0,62.0
2009,  932, 85.24,55.29,33.38,1,284, 988,4.70,1073,4.86, 832,5.16, 987,6.30,48.8,60.0,55.2,59.0,24.6,59.0,43.8,62.0
2019, -734, 99.68,64.87,34.47,0,224, 915,3.82, 875,4.90,1087,5.00, 898,5.52,38.5,58.0,31.0,60.0,55.2,61.0,31.2,58.0
2012, -745, 74.44,82.77,17.12,0,484, 951,5.40,1005,4.50, 972,5.10, 993,3.20,39.0,61.0,48.4,61.9,44.7,62.0,53.9,59.0
